Species.ID,bhvr,PreyVolume,PreyDepth,Dive_Time,Surfacetime,Blow.Interval,Blow_number_count,YEAR,Month,Day,sit
HW,OTHER,-1,NA,161,53,23.5,3,15,6,29,Sighting 204
HW,OTHER,5.279852434,82.09,313,168,18.333,10,15,8,12,Sighting 401
HW,OTHER,6.783257022,76.05,NA,NA,39.5,NA,15,6,2,Sighting 110
FW,FEED,NA,NA,596,107,86.444,7,2014,8,25,Sighting 113
HW,FEED,7.282568721,88.14,373,100,14.091,8,2014,8,14,Sighting 103
FinW,FEED,3.820782334,125.51,408,182,18.789,11,2014,8,12,Sighting 140
HW,OTHER,4.292781401,112.98,NA,NA,62,NA,2014,8,24,Sighting 105
HW,FEED,7.683718641,118.75,455,NA,23.571,11,2014,8,11,Sighting 104
HW,OTHER,7.492845256,110.75,NA,NA,53.714,NA,15,8,7,Sighting 405
HW,FE,5.458654017,81.7,204,48,23.5,3,15,6,9,Sighting 107
HW,FEED,7.801678677,84.08,536.889,127.889,16.554,8.333,2014,8,31,Sighting 101
HW,FEED,7.632234543,60.12,228,74,13,7,15,6,21,Sighting 208
HW,FEED,-1,NA,NA,NA,NA,NA,15,8,17,Sighting 412
HW,OTHER,3.444416501,156.91,NA,NA,31.333,8,2014,9,4,Sighting 204
HW,OTHER,5.640614392,135.89,123.5,87.834,31.866,3,15,8,7,Sighting 403
HW,OTHER,7.369601666,93.22,271.666,51.667,25.334,3,2014,9,10,Sighting 211
HW,OTHER,3.789898308,129.24,485,44,23.75,1,15,6,2,Sighting 101
HW,FEED,5.60165746,26.43,89.5,69.2,NA,1,15,7,26,Sighting 302
HW,OTHER,NA,NA,NA,62,13.625,5,2014,8,27,Sighting 128
HW,OTHER,NA,NA,252,35.333,18,2.333,2014,9,10,Sighting 203
HW,OTHER,6.015181074,85.82,NA,55.5,12,5.5,2014,8,17,Sighting 101
fin,FEED,5.441055745,100.32,355,134.5,14.278,10,15,9,15,Sighting 507
HW,OTHER,7.276241415,78.99,NA,146,19.857,8,2014,8,28,Sighting 121
HW,FEED,7.315968807,154.46,517,246.5,19.5,14,15,7,13,Sighting 302
HW,FEED,7.90812172,128.83,455,381.5,23.084,17,15,8,2,Sighting 409
HW,FEED,5.170845293,75.91,266,129.5,21.4,5,15,6,14,Sighting 101
HW,OTHER,-1,NA,155,NA,35,NA,2014,8,27,Sighting 102
HW,FEED,8.48796432,74.27,355,99.5,13.133,8.5,15,6,21,Sighting 210
HW,FEED,2.786466972,73.92,101.5,28.5,17,2.667,2014,9,2,Sighting 208
HW,FEED,7.472342631,104.13,365,52,18.61,4.5,2014,8,13,Sighting 105
HW,FEED,7.364615536,69.66,164.5,65.5,16.2,4.5,15,6,10,Sighting 116
HW,OTHER,-1,NA,188,99,33,4,15,6,17,Sighting 202
HW,OTHER,NA,NA,311,41,16,4,15,8,20,Sighting 411
FW,OTHER,3.179885485,90.49,442,71,22.667,4,2014,8,14,Sighting 104
HW,OTHER,5.970894936,104.54,126.5,56.125,36.952,2.667,15,7,14,Sighting 302
FW,FEED,7.660422236,107.92,486.125,133.041,19.609,7.534,15,6,10,Sighting 107
HW,FEED,5.92732408,151.79,NA,140,19.667,9,15,7,18,Sighting 305
HW,FEED,6.528043148,91.68,341,112.333,17.889,7,15,9,14,Sighting 501
FW,FEED,6.747812323,151.09,482.75,181.25,18.389,11.25,15,7,29,Sighting 307
HW,OTHER,NA,NA,NA,NA,41.222,NA,15,8,19,Sighting 408
HW,FEED,5.074643675,118.86,159.5,168,34.125,5.5,15,7,29,Sighting 311
HW,OTHER,-1,NA,NA,183,57.333,4,15,8,5,Sighting 402
HW,FEED,5.58957068,24.68,67,88,39.889,4,2014,9,5,Sighting 212
HW,OTHER,7.31217731,63.63,277,33.5,23.334,1.5,15,5,30,Sighting 108
HW,OTHER,6.62435111,71.27,NA,63,18.5,3,15,5,30,Sighting 112
FW,FEED,NA,NA,NA,237,58.75,5,2014,8,22,Sighting 102
HW,FEED,3.708191765,88.34,643,88,17.2,6,15,8,16,Sighting 405
HW,OTHER,NA,NA,NA,178,46.357,5,15,8,19,Sighting 406
HW,OTHER,-1,NA,60,322.5,28.733,12,15,9,19,Sighting 502
HW,OTHER,8.218837397,77.71,NA,NA,10,NA,2014,8,12,Sighting 103
HW,FEED,8.025083265,59.01,253.583,52.834,11.262,5.333,15,6,6,Sighting 103
HW,OTHER,-1,NA,161,53,23.5,3,15,6,29,Sighting 204
FW,FEED,7.86681427,95.04,367.5,119.667,15.455,7.5,15,6,21,Sighting 211
HW,OTHER,2.104134154,107.28,260,168,23.429,5,15,9,13,Sighting 502
HW,OTHER,2.771406774,110.48,226,137,38.889,4,2014,9,6,Sighting 216
HW,FEED,6.422051932,19.01,192,34,13,3,15,9,2,Sighting 507
HW,FEED,5.01131906,118.35,438,203.5,14.267,15,15,7,29,Sighting 308
HW,FEED,5.338126849,57.18,NA,NA,47.344,NA,2014,9,5,Sighting 207
HW,OTHER,4.601786468,133,34.333,155.75,27.591,6.25,15,6,13,Sighting 105
HW,OTHER,6.62435111,71.27,NA,63,18.5,3,15,5,30,Sighting 112
HW,OTHER,6.783257022,76.05,NA,NA,39.5,NA,15,6,2,Sighting 110
HW,FEED,NA,NA,441.667,106.333,13.773,8.667,15,6,10,Sighting 111
FW,FEED,4.759621106,124.66,430.75,151.459,19.267,9.541,2014,9,4,Sighting 202
HW,OTHER,-1,NA,433,NA,NA,NA,15,7,21,Sighting 312
HW,FEED,7.257606544,65.94,446.5,90.75,18.474,5.75,15,6,13,Sighting 107
HW,OTHER,7.447503872,54.68,248,55,14.182,4.667,15,5,27,Sighting 104
HW,FEED,6.572880406,87.58,NA,NA,22,NA,15,6,8,Sighting 104
HW,OTHER,3.101995881,162.78,184.5,145,34.977,5,15,8,2,Sighting 413
HW,FEED,5.01131906,118.35,438,203.5,14.267,15,15,7,29,Sighting 308
HW,OTHER,6.418607321,71.16,449.667,147,18.286,8.5,15,6,10,Sighting 103
HW,FEED,6.183607507,60.21,225,61.5,16.833,4.5,15,6,10,Sighting 101
HW,FEED,4.889785812,156.16,419.5,201,21.091,13,15,7,1,Sighting 202
HW,FEED,7.355593179,75.09,295,97.333,13.125,5.667,2014,9,6,Sighting 204
