"","country","ISO3","region_name","year","indicator_name","value","unit_of_measure"
"472","Nigeria","NGA","Sub-Saharan Africa",2016,"Use of insecticide-treated bed nets (% of under-5 population)",0.486047208309174,"%"
"473","Sierra Leone","SLE","Sub-Saharan Africa",2017,"Use of insecticide-treated bed nets (% of under-5 population)",0.614008843898773,"%"
"474","Sao Tome and Principe","STP","Sub-Saharan Africa",2014,"Use of insecticide-treated bed nets (% of under-5 population)",0.600837767124176,"%"
"475","Chad","TCD","Sub-Saharan Africa",2014,"Use of insecticide-treated bed nets (% of under-5 population)",0.239920943975449,"%"
"476","Togo","TGO","Sub-Saharan Africa",2013,"Use of insecticide-treated bed nets (% of under-5 population)",0.441322833299637,"%"
"477","Tanzania","TZA","Sub-Saharan Africa",2015,"Use of insecticide-treated bed nets (% of under-5 population)",0.540453016757965,"%"
"478","Uganda","UGA","Sub-Saharan Africa",2016,"Use of insecticide-treated bed nets (% of under-5 population)",0.630653738975525,"%"
"479","Zambia","ZMB","Sub-Saharan Africa",2013,"Use of insecticide-treated bed nets (% of under-5 population)",0.405735701322556,"%"
"480","Zimbabwe","ZWE","Sub-Saharan Africa",2015,"Use of insecticide-treated bed nets (% of under-5 population)",0.0888144597411156,"%"
"481","Afghanistan","AFG","South Asia",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.195539116859436,"%"
"482","Angola","AGO","Sub-Saharan Africa",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.60679167509079,"%"
"483","Albania","ALB","Europe & Central Asia",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.779962360858917,"%"
"484","Burundi","BDI","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.45539864897728,"%"
"485","Benin","BEN","Sub-Saharan Africa",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.561488389968872,"%"
"486","Belize","BLZ","Latin America & Caribbean",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.947517991065979,"%"
"487","Central African Republic","CAF","Sub-Saharan Africa",2010,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.397369980812073,"%"
"488","Cote d'Ivoire","CIV","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.516586780548096,"%"
"489","Cameroon","CMR","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.604641914367676,"%"
"490","Congo, Dem. Rep.","COD","Sub-Saharan Africa",2013,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.470294505357742,"%"
"491","Congo, Rep.","COG","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.791678488254547,"%"
"492","Colombia","COL","Latin America & Caribbean",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.909100234508514,"%"
"493","Cuba","CUB","Latin America & Caribbean",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.984690308570862,"%"
"494","Dominican Republic","DOM","Latin America & Caribbean",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.965748846530914,"%"
"495","Algeria","DZA","Middle East & North Africa",2012,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.695638954639435,"%"
"496","Ethiopia","ETH","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.337220042943954,"%"
"497","Gabon","GAB","Sub-Saharan Africa",2012,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.770721912384033,"%"
"498","Ghana","GHA","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.858602821826935,"%"
"499","Guinea","GIN","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.518223285675049,"%"
"500","Guinea-Bissau","GNB","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.661799311637878,"%"
"501","Guatemala","GTM","Latin America & Caribbean",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.847659111022949,"%"
"502","Guyana","GUY","Latin America & Caribbean",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.932787299156189,"%"
"503","Honduras","HND","Latin America & Caribbean",2011,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.878348886966705,"%"
"504","Haiti","HTI","Latin America & Caribbean",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.704590022563934,"%"
"505","India","IND","South Asia",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.51273113489151,"%"
"506","Jamaica","JAM","Latin America & Caribbean",2011,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.928431808948517,"%"
"507","Jordan","JOR","Middle East & North Africa",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.907865285873413,"%"
"508","Kazakhstan","KAZ","Europe & Central Asia",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.989397466182709,"%"
"509","Cambodia","KHM","East Asia & Pacific",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.762321472167969,"%"
"510","Lao PDR","LAO","East Asia & Pacific",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.625851631164551,"%"
"511","Lesotho","LSO","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.734369456768036,"%"
"512","Maldives","MDV","South Asia",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.962201595306396,"%"
"513","Mexico","MEX","Latin America & Caribbean",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.943119764328003,"%"
"514","North Macedonia","MKD","Europe & Central Asia",2011,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.970957815647125,"%"
"515","Myanmar","MMR","East Asia & Pacific",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.596388161182404,"%"
"516","Mongolia","MNG","East Asia & Pacific",2013,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.921523213386536,"%"
"517","Mauritania","MRT","Sub-Saharan Africa",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.655667364597321,"%"
"518","Namibia","NAM","Sub-Saharan Africa",2013,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.796375453472137,"%"
"519","Niger","NER","Sub-Saharan Africa",2012,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.337028473615646,"%"
"520","Nigeria","NGA","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.497333288192749,"%"
"521","Nepal","NPL","South Asia",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.71541428565979,"%"
"522","Peru","PER","Latin America & Caribbean",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.971146285533905,"%"
"523","Philippines","PHL","East Asia & Pacific",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.872846364974976,"%"
"524","Paraguay","PRY","Latin America & Caribbean",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.946755766868591,"%"
"525","Sudan","SDN","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.515905380249023,"%"
"526","Senegal","SEN","Sub-Saharan Africa",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.601420521736145,"%"
"527","Sierra Leone","SLE","Sub-Saharan Africa",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.844223439693451,"%"
"528","El Salvador","SLV","Latin America & Caribbean",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.919399201869965,"%"
"529","Somalia","SOM","Sub-Saharan Africa",2006,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.0195434596389532,"%"
"530","South Sudan","SSD","Sub-Saharan Africa",2010,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.182646840810776,"%"
"531","Sao Tome and Principe","STP","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.883241355419159,"%"
"532","Eswatini","SWZ","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.773354232311249,"%"
"533","Chad","TCD","Sub-Saharan Africa",2014,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.327518999576569,"%"
"534","Togo","TGO","Sub-Saharan Africa",2013,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.554576635360718,"%"
"535","Thailand","THA","East Asia & Pacific",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.950259983539581,"%"
"536","Tajikistan","TJK","Europe & Central Asia",2017,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.639510214328766,"%"
"537","Turkmenistan","TKM","Europe & Central Asia",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.965769648551941,"%"
"538","Timor-Leste","TLS","East Asia & Pacific",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.776766240596771,"%"
"539","Tunisia","TUN","Middle East & North Africa",2011,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.856084704399109,"%"
"540","Tanzania","TZA","Sub-Saharan Africa",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.480410009622574,"%"
"541","Uganda","UGA","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.610216200351715,"%"
"542","Uruguay","URY","Latin America & Caribbean",2012,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.955906331539154,"%"
"543","South Africa","ZAF","Sub-Saharan Africa",2016,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.786655247211456,"%"
"544","Zambia","ZMB","Sub-Saharan Africa",2013,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.53580242395401,"%"
"545","Zimbabwe","ZWE","Sub-Saharan Africa",2015,"Pregnant women receiving prenatal care of at least four visits (% of pregnant women)",0.743153274059296,"%"
"546","Afghanistan","AFG","South Asia",2015,"Immunization, full (% of children ages 15-23 months)",0.488585889339447,"%"
"547","Angola","AGO","Sub-Saharan Africa",2015,"Immunization, full (% of children ages 15-23 months)",0.309130877256393,"%"
"548","Burundi","BDI","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.851619601249695,"%"
"549","Benin","BEN","Sub-Saharan Africa",2017,"Immunization, full (% of children ages 15-23 months)",0.574360966682434,"%"
"550","Belize","BLZ","Latin America & Caribbean",2015,"Immunization, full (% of children ages 15-23 months)",0.763096928596497,"%"
"551","Central African Republic","CAF","Sub-Saharan Africa",2010,"Immunization, full (% of children ages 15-23 months)",0.191945642232895,"%"
"552","Cote d'Ivoire","CIV","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.395663380622864,"%"
"553","Cameroon","CMR","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.603365123271942,"%"
"554","Congo, Dem. Rep.","COD","Sub-Saharan Africa",2013,"Immunization, full (% of children ages 15-23 months)",0.476415127515793,"%"
"555","Congo, Rep.","COG","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.33658155798912,"%"
"556","Djibouti","DJI","Middle East & North Africa",2006,"Immunization, full (% of children ages 15-23 months)",0.401957452297211,"%"
"557","Dominican Republic","DOM","Latin America & Caribbean",2014,"Immunization, full (% of children ages 15-23 months)",0.472234457731247,"%"
"558","Algeria","DZA","Middle East & North Africa",2012,"Immunization, full (% of children ages 15-23 months)",0.864075362682343,"%"
"559","Ethiopia","ETH","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.40429624915123,"%"
"560","Fiji","FJI","East Asia & Pacific",2007,"Immunization, full (% of children ages 15-23 months)",0.930999994277954,"%"
"561","Gabon","GAB","Sub-Saharan Africa",2012,"Immunization, full (% of children ages 15-23 months)",0.292416393756866,"%"
"562","Ghana","GHA","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.783785402774811,"%"
"563","Guinea","GIN","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.236897975206375,"%"
"564","Guinea-Bissau","GNB","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.703755080699921,"%"
"565","Equatorial Guinea","GNQ","Sub-Saharan Africa",2000,"Immunization, full (% of children ages 15-23 months)",0.232599288225174,"%"
"566","Guatemala","GTM","Latin America & Caribbean",2014,"Immunization, full (% of children ages 15-23 months)",0.701238691806793,"%"
"567","Guyana","GUY","Latin America & Caribbean",2014,"Immunization, full (% of children ages 15-23 months)",0.832242965698242,"%"
"568","Honduras","HND","Latin America & Caribbean",2011,"Immunization, full (% of children ages 15-23 months)",0.917494773864746,"%"
"569","Haiti","HTI","Latin America & Caribbean",2016,"Immunization, full (% of children ages 15-23 months)",0.43213215470314,"%"
"570","India","IND","South Asia",2015,"Immunization, full (% of children ages 15-23 months)",0.636616110801697,"%"
"571","Jamaica","JAM","Latin America & Caribbean",2011,"Immunization, full (% of children ages 15-23 months)",0.842442810535431,"%"
"572","Jordan","JOR","Middle East & North Africa",2017,"Immunization, full (% of children ages 15-23 months)",0.783945798873901,"%"
"573","Kazakhstan","KAZ","Europe & Central Asia",2015,"Immunization, full (% of children ages 15-23 months)",0.867906987667084,"%"
"574","Cambodia","KHM","East Asia & Pacific",2014,"Immunization, full (% of children ages 15-23 months)",0.745718002319336,"%"
"575","Lao PDR","LAO","East Asia & Pacific",2017,"Immunization, full (% of children ages 15-23 months)",0.470800668001175,"%"
"576","Sri Lanka","LKA","South Asia",2016,"Immunization, full (% of children ages 15-23 months)",0.902999997138977,"%"
"577","Lesotho","LSO","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.682891190052032,"%"
"578","Maldives","MDV","South Asia",2016,"Immunization, full (% of children ages 15-23 months)",0.767104148864746,"%"
"579","Myanmar","MMR","East Asia & Pacific",2015,"Immunization, full (% of children ages 15-23 months)",0.585061013698578,"%"
"580","Mongolia","MNG","East Asia & Pacific",2013,"Immunization, full (% of children ages 15-23 months)",0.929920554161072,"%"
"581","Mauritania","MRT","Sub-Saharan Africa",2015,"Immunization, full (% of children ages 15-23 months)",0.272205740213394,"%"
"582","Malaysia","MYS","East Asia & Pacific",2016,"Immunization, full (% of children ages 15-23 months)",0.953999996185303,"%"
"583","Namibia","NAM","Sub-Saharan Africa",2013,"Immunization, full (% of children ages 15-23 months)",0.6751589179039,"%"
"584","Niger","NER","Sub-Saharan Africa",2012,"Immunization, full (% of children ages 15-23 months)",0.562449038028717,"%"
"585","Nigeria","NGA","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.364687740802765,"%"
"586","Nepal","NPL","South Asia",2016,"Immunization, full (% of children ages 15-23 months)",0.790151417255402,"%"
"587","Peru","PER","Latin America & Caribbean",2016,"Immunization, full (% of children ages 15-23 months)",0.692801952362061,"%"
"588","Philippines","PHL","East Asia & Pacific",2017,"Immunization, full (% of children ages 15-23 months)",0.704180121421814,"%"
"589","Paraguay","PRY","Latin America & Caribbean",2016,"Immunization, full (% of children ages 15-23 months)",0.708495259284973,"%"
"590","Sudan","SDN","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.527232348918915,"%"
"591","Senegal","SEN","Sub-Saharan Africa",2017,"Immunization, full (% of children ages 15-23 months)",0.749848067760468,"%"
"592","Sierra Leone","SLE","Sub-Saharan Africa",2017,"Immunization, full (% of children ages 15-23 months)",0.699043035507202,"%"
"593","El Salvador","SLV","Latin America & Caribbean",2014,"Immunization, full (% of children ages 15-23 months)",0.857180058956146,"%"
"594","Somalia","SOM","Sub-Saharan Africa",2006,"Immunization, full (% of children ages 15-23 months)",0.0806716457009315,"%"
"595","South Sudan","SSD","Sub-Saharan Africa",2010,"Immunization, full (% of children ages 15-23 months)",0.103530503809452,"%"
"596","Sao Tome and Principe","STP","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.853664755821228,"%"
"597","Eswatini","SWZ","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.753920495510101,"%"
"598","Chad","TCD","Sub-Saharan Africa",2014,"Immunization, full (% of children ages 15-23 months)",0.265634894371033,"%"
"599","Togo","TGO","Sub-Saharan Africa",2013,"Immunization, full (% of children ages 15-23 months)",0.625815212726593,"%"
"600","Thailand","THA","East Asia & Pacific",2015,"Immunization, full (% of children ages 15-23 months)",0.831086397171021,"%"
"601","Tajikistan","TJK","Europe & Central Asia",2017,"Immunization, full (% of children ages 15-23 months)",0.828506052494049,"%"
"602","Turkmenistan","TKM","Europe & Central Asia",2015,"Immunization, full (% of children ages 15-23 months)",0.966798067092896,"%"
"603","Timor-Leste","TLS","East Asia & Pacific",2016,"Immunization, full (% of children ages 15-23 months)",0.491597712039948,"%"
"604","Tunisia","TUN","Middle East & North Africa",2011,"Immunization, full (% of children ages 15-23 months)",0.759471118450165,"%"
"605","Tanzania","TZA","Sub-Saharan Africa",2015,"Immunization, full (% of children ages 15-23 months)",0.761915326118469,"%"
"606","Uganda","UGA","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.557543873786926,"%"
"607","Venezuela, RB","VEN","Latin America & Caribbean",2000,"Immunization, full (% of children ages 15-23 months)",0.283220231533051,"%"
"608","South Africa","ZAF","Sub-Saharan Africa",2016,"Immunization, full (% of children ages 15-23 months)",0.658795118331909,"%"
"609","Zambia","ZMB","Sub-Saharan Africa",2013,"Immunization, full (% of children ages 15-23 months)",0.69126158952713,"%"
"610","Zimbabwe","ZWE","Sub-Saharan Africa",2015,"Immunization, full (% of children ages 15-23 months)",0.767027020454407,"%"
"611","Afghanistan","AFG","South Asia",2015,"Immunization, measles (% of children ages 15-23 months)",0.651214897632599,"%"
"612","Angola","AGO","Sub-Saharan Africa",2015,"Immunization, measles (% of children ages 15-23 months)",0.584843158721924,"%"
"613","Belize","BLZ","Latin America & Caribbean",2015,"Immunization, measles (% of children ages 15-23 months)",0.873512923717499,"%"
"614","Central African Republic","CAF","Sub-Saharan Africa",2010,"Immunization, measles (% of children ages 15-23 months)",0.567427933216095,"%"
"615","Cote d'Ivoire","CIV","Sub-Saharan Africa",2016,"Immunization, measles (% of children ages 15-23 months)",0.549125492572784,"%"
"616","Cameroon","CMR","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.739050269126892,"%"
"617","Congo, Dem. Rep.","COD","Sub-Saharan Africa",2013,"Immunization, measles (% of children ages 15-23 months)",0.744138777256012,"%"
"618","Congo, Rep.","COG","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.688605785369873,"%"
"619","Cuba","CUB","Latin America & Caribbean",2014,"Immunization, measles (% of children ages 15-23 months)",0.971559941768646,"%"
"620","Djibouti","DJI","Middle East & North Africa",2006,"Immunization, measles (% of children ages 15-23 months)",0.770605146884918,"%"
"621","Dominican Republic","DOM","Latin America & Caribbean",2014,"Immunization, measles (% of children ages 15-23 months)",0.754863619804382,"%"
"622","Algeria","DZA","Middle East & North Africa",2012,"Immunization, measles (% of children ages 15-23 months)",0.921471536159515,"%"
"623","Ethiopia","ETH","Sub-Saharan Africa",2016,"Immunization, measles (% of children ages 15-23 months)",0.574240684509277,"%"
"624","Gabon","GAB","Sub-Saharan Africa",2012,"Immunization, measles (% of children ages 15-23 months)",0.789918959140778,"%"
"625","Ghana","GHA","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.89225697517395,"%"
"626","Guinea","GIN","Sub-Saharan Africa",2016,"Immunization, measles (% of children ages 15-23 months)",0.445387870073318,"%"
"627","Guinea-Bissau","GNB","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.840600788593292,"%"
"628","Equatorial Guinea","GNQ","Sub-Saharan Africa",2000,"Immunization, measles (% of children ages 15-23 months)",0.534218072891235,"%"
"629","Guatemala","GTM","Latin America & Caribbean",2014,"Immunization, measles (% of children ages 15-23 months)",0.743195116519928,"%"
"630","Guyana","GUY","Latin America & Caribbean",2014,"Immunization, measles (% of children ages 15-23 months)",0.905968487262726,"%"
"631","Honduras","HND","Latin America & Caribbean",2011,"Immunization, measles (% of children ages 15-23 months)",0.947479903697968,"%"
"632","India","IND","South Asia",2015,"Immunization, measles (% of children ages 15-23 months)",0.832082450389862,"%"
"633","Jamaica","JAM","Latin America & Caribbean",2011,"Immunization, measles (% of children ages 15-23 months)",0.885409593582153,"%"
"634","Kazakhstan","KAZ","Europe & Central Asia",2015,"Immunization, measles (% of children ages 15-23 months)",0.930789589881897,"%"
"635","Kenya","KEN","Sub-Saharan Africa",2015,"Immunization, measles (% of children ages 15-23 months)",0.884068608283997,"%"
"636","Cambodia","KHM","East Asia & Pacific",2014,"Immunization, measles (% of children ages 15-23 months)",0.793774604797363,"%"
"637","Lao PDR","LAO","East Asia & Pacific",2017,"Immunization, measles (% of children ages 15-23 months)",0.678570330142975,"%"
"638","Lesotho","LSO","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.919654250144958,"%"
"639","Mexico","MEX","Latin America & Caribbean",2015,"Immunization, measles (% of children ages 15-23 months)",0.729687035083771,"%"
"640","North Macedonia","MKD","Europe & Central Asia",2011,"Immunization, measles (% of children ages 15-23 months)",0.904569685459137,"%"
"641","Myanmar","MMR","East Asia & Pacific",2015,"Immunization, measles (% of children ages 15-23 months)",0.808803975582123,"%"
"642","Mongolia","MNG","East Asia & Pacific",2013,"Immunization, measles (% of children ages 15-23 months)",0.940023839473724,"%"
"643","Mauritania","MRT","Sub-Saharan Africa",2015,"Immunization, measles (% of children ages 15-23 months)",0.74767929315567,"%"
"644","Malaysia","MYS","East Asia & Pacific",2016,"Immunization, measles (% of children ages 15-23 months)",0.966000020503998,"%"
"645","Namibia","NAM","Sub-Saharan Africa",2013,"Immunization, measles (% of children ages 15-23 months)",0.90695059299469,"%"
"646","Niger","NER","Sub-Saharan Africa",2012,"Immunization, measles (% of children ages 15-23 months)",0.718967020511627,"%"
"647","Nigeria","NGA","Sub-Saharan Africa",2016,"Immunization, measles (% of children ages 15-23 months)",0.677881479263306,"%"
"648","Nepal","NPL","South Asia",2016,"Immunization, measles (% of children ages 15-23 months)",0.918150663375854,"%"
"649","Peru","PER","Latin America & Caribbean",2016,"Immunization, measles (% of children ages 15-23 months)",0.830088973045349,"%"
"650","Paraguay","PRY","Latin America & Caribbean",2016,"Immunization, measles (% of children ages 15-23 months)",0.751146495342255,"%"
"651","Sudan","SDN","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.784647166728973,"%"
"652","Sierra Leone","SLE","Sub-Saharan Africa",2017,"Immunization, measles (% of children ages 15-23 months)",0.840448081493378,"%"
"653","El Salvador","SLV","Latin America & Caribbean",2014,"Immunization, measles (% of children ages 15-23 months)",0.947784543037415,"%"
"654","Somalia","SOM","Sub-Saharan Africa",2006,"Immunization, measles (% of children ages 15-23 months)",0.290946394205093,"%"
"655","South Sudan","SSD","Sub-Saharan Africa",2010,"Immunization, measles (% of children ages 15-23 months)",0.376249045133591,"%"
"656","Sao Tome and Principe","STP","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.935388743877411,"%"
"657","Eswatini","SWZ","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.93111127614975,"%"
"658","Chad","TCD","Sub-Saharan Africa",2014,"Immunization, measles (% of children ages 15-23 months)",0.598037362098694,"%"
"659","Togo","TGO","Sub-Saharan Africa",2013,"Immunization, measles (% of children ages 15-23 months)",0.764278829097748,"%"
"660","Thailand","THA","East Asia & Pacific",2015,"Immunization, measles (% of children ages 15-23 months)",0.935018122196198,"%"
"661","Turkmenistan","TKM","Europe & Central Asia",2015,"Immunization, measles (% of children ages 15-23 months)",0.988599717617035,"%"
"662","Tunisia","TUN","Middle East & North Africa",2011,"Immunization, measles (% of children ages 15-23 months)",0.844017148017883,"%"
"663","Tanzania","TZA","Sub-Saharan Africa",2015,"Immunization, measles (% of children ages 15-23 months)",0.873061895370483,"%"
"664","Uganda","UGA","Sub-Saharan Africa",2016,"Immunization, measles (% of children ages 15-23 months)",0.81750899553299,"%"
"665","Venezuela, RB","VEN","Latin America & Caribbean",2000,"Immunization, measles (% of children ages 15-23 months)",0.660300076007843,"%"
"666","Zambia","ZMB","Sub-Saharan Africa",2013,"Immunization, measles (% of children ages 15-23 months)",0.866925477981567,"%"
"667","Zimbabwe","ZWE","Sub-Saharan Africa",2015,"Immunization, measles (% of children ages 15-23 months)",0.824093222618103,"%"
"668","Afghanistan","AFG","South Asia",2015,"Births attended by skilled health staff (% of total)",0.569356203079224,"%"
"669","Angola","AGO","Sub-Saharan Africa",2015,"Births attended by skilled health staff (% of total)",0.513139843940735,"%"
"670","Albania","ALB","Europe & Central Asia",2017,"Births attended by skilled health staff (% of total)",0.99760514497757,"%"
"671","Burundi","BDI","Sub-Saharan Africa",2016,"Births attended by skilled health staff (% of total)",0.843428671360016,"%"
"672","Benin","BEN","Sub-Saharan Africa",2017,"Births attended by skilled health staff (% of total)",0.798332154750824,"%"
"673","Belize","BLZ","Latin America & Caribbean",2015,"Births attended by skilled health staff (% of total)",0.969863951206207,"%"
"674","Central African Republic","CAF","Sub-Saharan Africa",2010,"Births attended by skilled health staff (% of total)",0.542844891548157,"%"
"675","Cote d'Ivoire","CIV","Sub-Saharan Africa",2016,"Births attended by skilled health staff (% of total)",0.741765677928925,"%"
"676","Cameroon","CMR","Sub-Saharan Africa",2014,"Births attended by skilled health staff (% of total)",0.661652684211731,"%"
"677","Congo, Dem. Rep.","COD","Sub-Saharan Africa",2013,"Births attended by skilled health staff (% of total)",0.809854030609131,"%"
"678","Congo, Rep.","COG","Sub-Saharan Africa",2014,"Births attended by skilled health staff (% of total)",0.944651663303375,"%"
"679","Colombia","COL","Latin America & Caribbean",2015,"Births attended by skilled health staff (% of total)",0.969576776027679,"%"
"680","Cuba","CUB","Latin America & Caribbean",2014,"Births attended by skilled health staff (% of total)",0.994649708271027,"%"
"681","Djibouti","DJI","Middle East & North Africa",2006,"Births attended by skilled health staff (% of total)",0.929138004779816,"%"
"682","Dominican Republic","DOM","Latin America & Caribbean",2014,"Births attended by skilled health staff (% of total)",0.992148816585541,"%"
"683","Algeria","DZA","Middle East & North Africa",2012,"Births attended by skilled health staff (% of total)",0.982535719871521,"%"
"684","Ethiopia","ETH","Sub-Saharan Africa",2016,"Births attended by skilled health staff (% of total)",0.374399423599243,"%"
"685","Gabon","GAB","Sub-Saharan Africa",2012,"Births attended by skilled health staff (% of total)",0.910763740539551,"%"
"686","Ghana","GHA","Sub-Saharan Africa",2014,"Births attended by skilled health staff (% of total)",0.753041803836823,"%"
"687","Guinea","GIN","Sub-Saharan Africa",2016,"Births attended by skilled health staff (% of total)",0.619330585002899,"%"
"688","Guinea-Bissau","GNB","Sub-Saharan Africa",2014,"Births attended by skilled health staff (% of total)",0.449900090694427,"%"
"689","Equatorial Guinea","GNQ","Sub-Saharan Africa",2000,"Births attended by skilled health staff (% of total)",0.63672947883606,"%"
"690","Guatemala","GTM","Latin America & Caribbean",2014,"Births attended by skilled health staff (% of total)",0.687018692493439,"%"
"691","Guyana","GUY","Latin America & Caribbean",2014,"Births attended by skilled health staff (% of total)",0.931546628475189,"%"
"692","Honduras","HND","Latin America & Caribbean",2011,"Births attended by skilled health staff (% of total)",0.973265767097473,"%"
